photo_id,related_record_id,municipality_id,municipality,category,entity_name,photo_type,saved_filename,google_drive_file_link,proposed_app_asset_path,source_organization,source_page,original_image_link,photographer,copyright_owner,license,permission_status,required_attribution,date_photograph_taken,date_accessed,resolution,orientation,verification_status,permission_required,suitable_as_cover_photo,file_format,file_size,notes
PHOTO-CAR-001,MADIA-CAR-ATT-005,MADIA-MUN-CAR,Caramoan,Tourism,Gota Beach,Cover / wide view,MADIA-CAR-ATT-005_Gota-Beach_Cover_001_WikimediaCommons.jpg,https://drive.google.com/file/d/1Nhq27kn24InLYjgwJ3u2zl2q3stWAlSR/view,/assets/caramoan/MADIA-CAR-ATT-005_Gota-Beach_Cover_001_WikimediaCommons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Caramoan_Gota_Beach_Front_I.jpg,https://upload.wikimedia.org/wikipedia/commons/0/04/Caramoan_Gota_Beach_Front_I.jpg,Francis Charles Brioso “Kabu Sawsaw”,Francis Charles Brioso “Kabu Sawsaw”,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Francis Charles Brioso “Kabu Sawsaw”, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2022-02-07,2026-06-29,4032×3024,Landscape,VERIFIED,No,Yes,JPEG,498857,License and exact original file verified on 2026-06-29. Binary download attempted but blocked because the execution environment could not resolve the Wikimedia image host; original URL retained for later acquisition.
PHOTO-CAR-002,MADIA-CAR-ATT-004,MADIA-MUN-CAR,Caramoan,Tourism,Manlawi Sandbar,Wide view,MADIA-CAR-ATT-004_Manlawi-Sandbar_Wide_001_WikimediaCommons.jpg,https://drive.google.com/file/d/160xYls2ghM69J_JN5jg6u3mNXFp7hv06/view,/assets/caramoan/MADIA-CAR-ATT-004_Manlawi-Sandbar_Wide_001_WikimediaCommons.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Manlawi_Sandbar,_Caramoan_Island,_Camarines_Sur.jpg",https://upload.wikimedia.org/wikipedia/commons/7/7f/Manlawi_Sandbar%2C_Caramoan_Island%2C_Camarines_Sur.jpg,JannahTepace,JannahTepace,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by JannahTepace, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2016-04-09,2026-06-29,3568×2000,Landscape,VERIFIED,No,Yes,JPEG,141623,License and exact original file verified on 2026-06-29. Binary download attempted but blocked because the execution environment could not resolve the Wikimedia image host; original URL retained for later acquisition.
PHOTO-CAR-003,MADIA-CAR-ATT-002,MADIA-MUN-CAR,Caramoan,Tourism,Lahos Island,Detail / portrait,MADIA-CAR-ATT-002_Lahos-Island_Detail_001_WikimediaCommons.jpg,https://drive.google.com/file/d/1nbtN-um2DMsIlnZdiNqieH226OTtXniI/view,/assets/caramoan/MADIA-CAR-ATT-002_Lahos-Island_Detail_001_WikimediaCommons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Lahos_Island.jpg,https://upload.wikimedia.org/wikipedia/commons/5/5e/Lahos_Island.jpg,Itsmateoduh,Itsmateoduh,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Itsmateoduh, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2017-05-13,2026-06-29,2448×3264,Portrait,VERIFIED,No,No,JPEG,525870,License and exact original file verified on 2026-06-29. Binary download attempted but blocked because the execution environment could not resolve the Wikimedia image host; original URL retained for later acquisition.
PHOTO-CAR-004,MADIA-CAR-ATT-003,MADIA-MUN-CAR,Caramoan,Tourism,Sabitang Laya Island,Cover / wide view,MADIA-CAR-ATT-003_Sabitang-Laya_Cover_001_WikimediaCommons.jpg,https://drive.google.com/file/d/1dT2ObaCYu_K-EkM7GGwplh2SumBGP0CT/view,/assets/caramoan/MADIA-CAR-ATT-003_Sabitang-Laya_Cover_001_WikimediaCommons.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Sabitang_Laya_Island.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b6/Sabitang_Laya_Island.jpg,Judith.arendaing,Judith.arendaing,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Judith.arendaing, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2022-12-08,2026-06-29,4608×3456,Landscape,VERIFIED,No,Yes,JPEG,529258,License and exact original file verified on 2026-06-29. Binary download attempted but blocked because the execution environment could not resolve the Wikimedia image host; original URL retained for later acquisition.
PHOTO-CAR-005,MADIA-CAR-ATT-001,MADIA-MUN-CAR,Caramoan,Tourism,Matukad Island,Candidate cover,Proposed after exact file selection,,/assets/caramoan/Proposed after exact file selection,Wikimedia Commons category,https://commons.wikimedia.org/wiki/Category:Caramoan,,Not yet selected,Not yet selected,Unclear – Do Not Use,Permission required,None until exact file page is verified,Not publicly available,2026-06-29,Not publicly available,Not assessed,UNVERIFIED,Yes,Potentially,Not downloaded,,Select and review an exact file page before approval.
PHOTO-CAR-006,MADIA-CAR-ATT-001,MADIA-MUN-CAR,Caramoan,Tourism,Matukad Island,Official tourism image lead,Not applicable,,/assets/caramoan/Not applicable,Visit CamSur,https://visitcamsur.com/places-to-go/islands,,Not publicly listed,Not publicly listed,Permission Required,Permission required,Obtain written permission or verified reuse terms,Not publicly available,2026-06-29,Not publicly available,Not assessed,UNVERIFIED,Yes,Potentially,Not downloaded,,Do not copy from the website without verified terms.
PHOTO-CAR-007,MADIA-CAR-ACC-001,MADIA-MUN-CAR,Caramoan,Tourism,Tugawe Cove Resort,Accommodation exterior/interior lead,Not applicable,,/assets/caramoan/Not applicable,Tugawe Cove Resort official website,https://www.tugawecoveresort.com/en/rooms,,Not publicly listed,Not publicly listed,Permission Required,Permission required,Written owner permission and agreed attribution,Not publicly available,2026-06-29,Not publicly available,Not assessed,UNVERIFIED,Yes,Potentially,Not downloaded,,Request an owner-provided media kit or written permission.
PHOTO-CAR-008,MADIA-CAR-ACC-002,MADIA-MUN-CAR,Caramoan,Tourism,Gota Village Resort,Accommodation lead,Not applicable,,/assets/caramoan/Not applicable,Booking platform,https://www.expedia.com/Caramoan-Hotels-Gota-Village-Resort.h6657004.Hotel-Information/,,Not publicly listed,Not publicly listed,Unclear – Do Not Use,Permission required,Do not use; request owner-provided photos,Not publicly available,2026-06-29,Not publicly available,Not assessed,UNVERIFIED,Yes,No,Not downloaded,,Retain URL as a lead only.
PHOTO-CAR-009,MADIA-CAR-RES-001,MADIA-MUN-CAR,Caramoan,Tourism,Kape Real,Food/interior lead,Not applicable,,/assets/caramoan/Not applicable,Facebook/aggregator lead,https://www.facebook.com/kapereal/,,Not publicly listed,Not publicly listed,Permission Required,Permission required,Request owner permission and original files,Not publicly available,2026-06-29,Not publicly available,Not assessed,UNVERIFIED,Yes,Potentially,Not downloaded,,Do not download from Facebook.
PHOTO-CAR-010,MADIA-CAR-FAC-001,MADIA-MUN-CAR,Caramoan,Tourism,LGU Caramoan / municipal facilities,Facility and event lead,Not applicable,,/assets/caramoan/Not applicable,Official social-media lead,Official LGU page to be confirmed,,Not publicly listed,Not publicly listed,Permission Required,Permission required,Obtain LGU permission or verify government reuse terms,Not publicly available,2026-06-29,Not publicly available,Not assessed,UNVERIFIED,Yes,Potentially,Not downloaded,,"May support facilities, events and community content."
MADIA-PHO-0001,MADIA-GAR-ATT-001,MADIA-MUN-GAR,Garchitorena,Natural Attraction,Costa Rosa,Cover candidate,,,/assets/garchitorena/MADIA-PHO-0001.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/garchitorena/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,"Municipal promotional image lead; exact image file, owner and reuse terms must be recorded."
MADIA-PHO-0002,MADIA-GOA-ATT-001,MADIA-MUN-GOA,Goa,Natural Attraction,Mount Isarog access from Goa,Cover candidate,,,/assets/goa/MADIA-PHO-0002.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/goa/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,Government-page photo lead; exact file and reuse terms must be captured.
MADIA-PHO-0003,MADIA-LAG-ATT-001,MADIA-MUN-LAG,Lagonoy,Natural Attraction,Bulan-ogan Falls,Cover candidate,,,/assets/lagonoy/MADIA-PHO-0003.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/lagonoy/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,Official PDA image lead; exact owner and media-use terms require capture.
MADIA-PHO-0004,MADIA-LAG-ATT-002,MADIA-MUN-LAG,Lagonoy,Natural Attraction,Dozen Caves,Cover candidate,,,/assets/lagonoy/MADIA-PHO-0004.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/lagonoy/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,Official PDA image lead; verify exact cave represented.
MADIA-PHO-0005,MADIA-PRE-ATT-001,MADIA-MUN-PRE,Presentacion,Natural Attraction,Aguirangan Island,Cover candidate,MADIA-PRE-ATT-001_Aguirangan-Island_Cover_001_Irvin-Parco-Sto-Tomas.jpg,https://drive.google.com/file/d/1EDCtLu9lmXl28x4ZuK2zFJ3QGWewSe87/view,/assets/presentacion/MADIA-PHO-0005.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Aguirangan_Island_in_Camarines_Sur_02.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Aguirangan_Island_in_Camarines_Sur_02.jpg,Irvin Parco Sto. Tomas,Irvin Parco Sto. Tomas,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Irvin Parco Sto. Tomas, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2021-05-23,2026-06-29,4000×1808,Landscape,VERIFIED,No,Pending,JPEG,171423,Provincial tourism image lead; capture exact media file and attribution before use.
MADIA-PHO-0006,MADIA-PRE-ATT-002,MADIA-MUN-PRE,Presentacion,Natural Attraction,Baliguian Falls,Cover candidate,,,/assets/presentacion/MADIA-PHO-0006.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/presentacion/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0007,MADIA-PRE-ATT-003,MADIA-MUN-PRE,Presentacion,Natural Attraction,Maangas,Cover candidate,,,/assets/presentacion/MADIA-PHO-0007.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/presentacion/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0008,MADIA-PRE-ATT-004,MADIA-MUN-PRE,Presentacion,Natural Attraction,Bulalacao Cave,Cover candidate,,,/assets/presentacion/MADIA-PHO-0008.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/presentacion/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0009,MADIA-SAG-ATT-001,MADIA-MUN-SAG,Sagñay,Natural Attraction,Atulayan Island,Cover candidate,MADIA-SAG-ATT-001_Atulayan-Island_Cover_001_Maffeth-Opiana.jpg,https://drive.google.com/file/d/11xMvI-L64M1TdKDEjTHMt0bWTZqNdS1m/view,/assets/sagnay/MADIA-PHO-0009.jpg,Wikimedia Commons,https://commons.wikimedia.org/wiki/File:Atulayan_Island_01.jpg,https://commons.wikimedia.org/wiki/Special:Redirect/file/Atulayan_Island_01.jpg,Maffeth.opiana,Maffeth.opiana,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Maffeth.opiana, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2024-04-15,2026-06-29,4284×5712,Portrait,VERIFIED,No,Pending,JPEG,622611,Provincial tourism image lead; exact file and attribution still required.
MADIA-PHO-0010,MADIA-SAG-ATT-002,MADIA-MUN-SAG,Sagñay,Natural Attraction,Cagbalogo Beach,Cover candidate,,,/assets/sagnay/MADIA-PHO-0010.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/sagnay/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0011,MADIA-SAG-ATT-004,MADIA-MUN-SAG,Sagñay,Natural Attraction,Patitinan White Beach,Cover candidate,,,/assets/sagnay/MADIA-PHO-0011.jpg,Government or establishment source,https://visitcamsur.com/places-to-go/beaches,,,,Government Source – Reuse Terms Verified,Exact image file review required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0012,MADIA-SJO-ATT-001,MADIA-MUN-SJO,San Jose,Natural Attraction,Sabang Beach,Cover candidate,MADIA-SJO-ATT-001_Sabang-Beach_Cover_001_Ralff-Nestor-Nacor.jpg,https://drive.google.com/file/d/18fwpHdXXuj8HdCOw-B54X6Y_KnaCEgyp/view,/assets/san-jose/MADIA-PHO-0012.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Sabang_Beach,_San_Jose,_Camarines_Sur_(2022).jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Sabang_Beach%2C_San_Jose%2C_Camarines_Sur_%282022%29.jpg,Ralff Nestor Nacor,Ralff Nestor Nacor,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Ralff Nestor Nacor, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2022-05-12,2026-06-29,3902×2938,Landscape,VERIFIED,No,Pending,JPEG,263014,
MADIA-PHO-0013,MADIA-SJO-ATT-002,MADIA-MUN-SJO,San Jose,Natural Attraction,Adiangao Cave,Cover candidate,,,/assets/san-jose/MADIA-PHO-0013.jpg,Government or establishment source,https://www.facebook.com/search/top?q=Adiangao%20Cave%20San%20Jose%20Camarines%20Sur,,,,Unclear – Do Not Use,Unclear,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0014,MADIA-SJO-ACC-003,MADIA-MUN-SJO,San Jose,Accommodation,The Gulf Tide Resort,Cover candidate,,,/assets/san-jose/MADIA-PHO-0014.jpg,Government or establishment source,https://gulftide.weebly.com/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0015,MADIA-SIR-ATT-001,MADIA-MUN-SIR,Siruma,Natural Attraction,Butawanan Island,Cover candidate,,,/assets/siruma/MADIA-PHO-0015.jpg,Government or establishment source,https://partidodevelopmentadministration.gov.ph/siruma/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0016,MADIA-SIR-ATT-003,MADIA-MUN-SIR,Siruma,Natural Attraction,Suhoton coastal area,Cover candidate,,,/assets/siruma/MADIA-PHO-0016.jpg,Government or establishment source,https://tourism.naga.gov.ph/metronaga-tres/suhoton-siruma/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0017,MADIA-SIR-ACC-001,MADIA-MUN-SIR,Siruma,Accommodation,KiudKad – The Last Resort,Cover candidate,,,/assets/siruma/MADIA-PHO-0017.jpg,Government or establishment source,https://tourism.naga.gov.ph/metronaga-tres/kiudkad-the-last-resort/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0018,MADIA-SIR-ACC-002,MADIA-MUN-SIR,Siruma,Accommodation,Green Rock Island Retreat,Cover candidate,,,/assets/siruma/MADIA-PHO-0018.jpg,Government or establishment source,https://www.greenrocksiruma.com/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0019,MADIA-TIG-ATT-001,MADIA-MUN-TIG,Tigaon,Natural Attraction,Tumagithi Falls,Cover candidate,MADIA-TIG-ATT-001_Tumagiti-Falls_Cover_001_Irvin-Parco-Sto-Tomas.jpg,https://drive.google.com/file/d/1HnBGIhSdJm8HwS3SEGra7NgOHqmoD6CQ/view,/assets/tigaon/MADIA-PHO-0019.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Tumagiti_Falls,_Mount_Isarog.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Tumagiti_Falls%2C_Mount_Isarog.jpg,Irvin Parco Sto. Tomas,Irvin Parco Sto. Tomas,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Irvin Parco Sto. Tomas, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2021-01-30,2026-06-29,3984×2656,Landscape,VERIFIED,No,Pending,JPEG,1017509,
MADIA-PHO-0020,MADIA-TIG-ATT-004,MADIA-MUN-TIG,Tigaon,Natural Attraction,Consocep and Mount Isarog access,Cover candidate,MADIA-TIG-ATT-004_Consocep-Mount-Isarog_Cover_001_Irvin-Parco-Sto-Tomas.jpg,https://drive.google.com/file/d/1_BPsqbIkIjgQuwR69SCV6CHCMkbF49Rb/view,/assets/tigaon/MADIA-PHO-0020.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Consosep,_Mount_Isarog_National_Park_-_Tigaon.jpg",https://commons.wikimedia.org/wiki/Special:Redirect/file/Consosep%2C_Mount_Isarog_National_Park_-_Tigaon.jpg,Irvin Parco Sto. Tomas,Irvin Parco Sto. Tomas,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Irvin Parco Sto. Tomas, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2021-01-30,2026-06-29,3984×2656,Landscape,VERIFIED,No,Pending,JPEG,864257,
MADIA-PHO-0021,MADIA-TIG-ACC-003,MADIA-MUN-TIG,Tigaon,Accommodation,Churinga Eco Resort,Cover candidate,,,/assets/tigaon/MADIA-PHO-0021.jpg,Government or establishment source,https://www.churingaecoresort.com/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0022,MADIA-TIN-ATT-001,MADIA-MUN-TIN,Tinambac,Natural Attraction,Caloco Beach,Cover candidate,MADIA-TIN-ATT-001_Caloco-Beach_Cover_001_Rommel-Nats.jpg,https://drive.google.com/file/d/1AUF4Cr2yXYaiv7oIIyKWG4YGEthqh-gL/view,/assets/tinambac/MADIA-PHO-0022.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Caloco_Beach_of_Tinambac,_Camarines_Sur.jpg",https://upload.wikimedia.org/wikipedia/commons/4/4f/Caloco_Beach_of_Tinambac%2C_Camarines_Sur.jpg,Rommel Nats,Rommel Nats,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Rommel Nats, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2022-04-29,2026-06-29,2990×1440,Landscape,VERIFIED,No,Potentially,JPEG,293881,Exact Commons page and CC BY-SA 4.0 license verified on 2026-06-29. Binary download remains blocked by environment network restrictions; original URL retained.
MADIA-PHO-0023,MADIA-TIN-ATT-001,MADIA-MUN-TIN,Tinambac,Natural Attraction,Caloco Beach,Cover candidate,MADIA-TIN-ATT-001_Caloco-Beach_Wide_002_Maffeth-Opiana.jpg,https://drive.google.com/file/d/1rdhiUX1Poq3jcz1uHEMkH1EEae66yzKN/view,/assets/tinambac/MADIA-PHO-0023.jpg,Wikimedia Commons,"https://commons.wikimedia.org/wiki/File:Caloco_Beach_at_Tinambac,_Camarines_Sur_1.jpg",https://upload.wikimedia.org/wikipedia/commons/f/f4/Caloco_Beach_at_Tinambac%2C_Camarines_Sur_1.jpg,Maffeth.opiana,Maffeth.opiana,Creative Commons Attribution-ShareAlike 4.0,Not required,"Photo by Maffeth.opiana, CC BY-SA 4.0, via Wikimedia Commons; indicate modifications.",2017-04-30,2026-06-29,4128×3096,Landscape,VERIFIED,No,Potentially,JPEG,573940,Exact Commons page and CC BY-SA 4.0 license verified on 2026-06-29. Binary download remains blocked by environment network restrictions; original URL retained.
MADIA-PHO-0024,MADIA-TIN-ACC-001,MADIA-MUN-TIN,Tinambac,Accommodation,Jacob RR Resort,Cover candidate,,,/assets/tinambac/MADIA-PHO-0024.jpg,Government or establishment source,https://www.jacobrrresort.com/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
MADIA-PHO-0025,MADIA-TIN-CUL-001,MADIA-MUN-TIN,Tinambac,Cultural or Historical Site,"Saint Peter the Apostle Parish Church, Bagacay",Cover candidate,,,/assets/tinambac/MADIA-PHO-0025.jpg,Government or establishment source,https://tourism.naga.gov.ph/metronaga-tres/st-peter-the-apostle-parish-church-bagacay-tinambac/,,,,Permission Required,Permission required,,,2026-06-29,Not recorded,Not recorded,UNVERIFIED,Yes,Pending,Not downloaded,,
