record_id,municipality_id,official_psgc_code,municipality,category,subcategory,official_name,alternate_or_local_name,barangay,complete_address,latitude,longitude,map_link,short_description,full_description,key_features,activities_available,products_or_services_offered,amenities,operating_status,operating_days,opening_time,closing_time,seasonal_availability,entrance_fee,price_range,other_fees,contact_person_publicly_listed,telephone_number,mobile_number,email_address,official_website,official_social_media_page,booking_link,accessibility_information,parking_availability,public_transportation_access,recommended_visit_duration,best_time_to_visit,safety_or_travel_advisory,tourism_accreditation_or_registration,primary_source,secondary_verification_source,date_accessed,date_information_last_confirmed,verification_status,confidence_level,photo_availability,cover_photo_id,application_page_route,notes,source_ids,source_id
MADIA-CAR-CUL-001,MADIA-MUN-CAR,0501711000,Caramoan,Cultural or Historical Site,Church / town heritage landmark,Saint Michael the Archangel Parish Church,,Caramoan town center,Not publicly available,13.7695,123.8627,,A Roman Catholic parish church and central community landmark associated with the May 8 parish feast and the municipality’s main festival period.,"A Roman Catholic parish church and central community landmark associated with the May 8 parish feast and the municipality’s main festival period. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,https://www.parishph.com/2022/01/saint-michael-archangel-parish-caramoan.html,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://www.parishph.com/2022/01/saint-michael-archangel-parish-caramoan.html,,2026-06-29,,PARTIALLY VERIFIED,Medium,Commons church media exists; exact file license must be checked.,,/municipalities/caramoan/saint-michael-the-archangel-parish-church,"Confirm construction history, heritage status, official parish contacts, visiting rules and exact coordinates.",SRC-CAR-017; SRC-CAR-004,
MADIA-CAR-CUL-002,MADIA-MUN-CAR,0501711000,Caramoan,Cultural or Historical Site,Church / maritime community landmark,Our Lady of Peace and Good Voyage Parish,,Guijalo,Not publicly available,,,,A parish in Guijalo that may be relevant to visitors arriving through the port and to local maritime religious traditions; its feast-day lead is August 15.,"A parish in Guijalo that may be relevant to visitors arriving through the port and to local maritime religious traditions; its feast-day lead is August 15. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,https://www.parishph.com/2022/01/our-lady-of-peace-and-good-voyage-parish-caramoan.html,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://www.parishph.com/2022/01/our-lady-of-peace-and-good-voyage-parish-caramoan.html,,2026-06-29,,PARTIALLY VERIFIED,Medium,Photo permission or exact reusable file still required.,,/municipalities/caramoan/our-lady-of-peace-and-good-voyage-parish,"Confirm parish office, worship schedule, visitor guidance and history.",SRC-CAR-018,
MADIA-CAR-CUL-003,MADIA-MUN-CAR,0501711000,Caramoan,Cultural or Historical Site,Church / community landmark,Saint Anthony of Padua Parish,,Bikal,Not publicly available,,,,A Roman Catholic parish in Bikal with a June 13 feast-day lead and potential relevance to community-based cultural tourism.,"A Roman Catholic parish in Bikal with a June 13 feast-day lead and potential relevance to community-based cultural tourism. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,https://www.parishph.com/2022/01/saint-anthony-of-padua-parish-caramoan.html,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://www.parishph.com/2022/01/saint-anthony-of-padua-parish-caramoan.html,,2026-06-29,,PARTIALLY VERIFIED,Medium,Photo permission or exact reusable file still required.,,/municipalities/caramoan/saint-anthony-of-padua-parish,"Confirm parish history, official contacts, exact coordinates and visitor guidance.",SRC-CAR-019,
MADIA-CAR-CUL-004,MADIA-MUN-CAR,0501711000,Caramoan,Cultural or Historical Site,Church / community landmark,Saint Dominic of Guzman Parish,,Tabgon,Not publicly available,,,,A Roman Catholic parish in Tabgon with an August 4 feast-day lead and potential linkage to community events near Sabitang Laya.,"A Roman Catholic parish in Tabgon with an August 4 feast-day lead and potential linkage to community events near Sabitang Laya. This record is retained in MADIA sa Partido as a working entry. Exact coordinates, access, operating status, fees, schedules, safety, accessibility, contacts, and current visitor conditions must be confirmed before unrestricted public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,https://www.parishph.com/2022/01/saint-dominic-of-guzman-parish-caramoan.html,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://www.parishph.com/2022/01/saint-dominic-of-guzman-parish-caramoan.html,,2026-06-29,,PARTIALLY VERIFIED,Medium,Photo permission or exact reusable file still required.,,/municipalities/caramoan/saint-dominic-of-guzman-parish,"Confirm parish history, official contacts, exact coordinates and visitor guidance.",SRC-CAR-020,
MADIA-GAR-CUL-001,MADIA-MUN-GAR,0501714000,Garchitorena,Cultural or Historical Site,Church,Sacred Heart of Jesus Parish Church,,Not publicly available,Not publicly available,,,,"A Catholic parish landmark in Garchitorena that may serve as a cultural, religious and community point of interest.","A Catholic parish landmark in Garchitorena that may serve as a cultural, religious and community point of interest. This entry is part of MADIA sa Partido’s preliminary working inventory for Garchitorena. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/garchitorena/,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/garchitorena/sacred-heart-of-jesus-parish-church,,,MADIA-SRC-001
MADIA-GAR-CUL-002,MADIA-MUN-GAR,0501714000,Garchitorena,Cultural or Historical Site,Church,Balaton Church,,Not publicly available,Not publicly available,,,,A local church and community landmark identified in municipal tourism materials; historical details require documentary validation.,"A local church and community landmark identified in municipal tourism materials; historical details require documentary validation. This entry is part of MADIA sa Partido’s preliminary working inventory for Garchitorena. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://partidodevelopmentadministration.gov.ph/garchitorena/,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/garchitorena/balaton-church,,,MADIA-SRC-001
MADIA-GOA-CUL-001,MADIA-MUN-GOA,0501715000,Goa,Cultural or Historical Site,Church,St. John the Baptist Parish Church,,Not publicly available,Not publicly available,,,,A parish church in Goa documented as a religious and community landmark; heritage details and visitor arrangements should be confirmed.,"A parish church in Goa documented as a religious and community landmark; heritage details and visitor arrangements should be confirmed. This entry is part of MADIA sa Partido’s preliminary working inventory for Goa. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://tourism.naga.gov.ph/metronaga-tres/st-john-the-baptist-parish-church-goa/,,2026-06-29,,PARTIALLY VERIFIED,Medium,Verified current reusable media uploaded to Drive.,MADIA-PHO-0044,/municipalities/goa/st-john-the-baptist-parish-church,,,MADIA-SRC-003
MADIA-GOA-CUL-002,MADIA-MUN-GOA,0501715000,Goa,Cultural or Historical Site,Church,St. Martin de Porres Parish Church,,Not publicly available,Not publicly available,,,,A parish church in Goa documented as a religious and community landmark; heritage details and visitor arrangements should be confirmed.,"A parish church in Goa documented as a religious and community landmark; heritage details and visitor arrangements should be confirmed. This entry is part of MADIA sa Partido’s preliminary working inventory for Goa. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://tourism.naga.gov.ph/metronaga-tres/st-martin-de-porres-parish-church-goa/,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/goa/st-martin-de-porres-parish-church,,,MADIA-SRC-004
MADIA-GOA-CUL-003,MADIA-MUN-GOA,0501715000,Goa,Cultural or Historical Site,Church,St. Luke the Evangelist Parish Church,,Not publicly available,Not publicly available,,,,A parish church in Goa documented as a religious and community landmark; heritage details and visitor arrangements should be confirmed.,"A parish church in Goa documented as a religious and community landmark; heritage details and visitor arrangements should be confirmed. This entry is part of MADIA sa Partido’s preliminary working inventory for Goa. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://tourism.naga.gov.ph/metronaga-tres/st-luke-the-evangelist-parish-church-goa/,,2026-06-29,,PARTIALLY VERIFIED,Medium,Lead only,,/municipalities/goa/st-luke-the-evangelist-parish-church,,,MADIA-SRC-005
MADIA-LAG-CUL-001,MADIA-MUN-LAG,0501717000,Lagonoy,Cultural or Historical Site,Church,Saints Philip and James the Apostles Parish Church,,Not publicly available,Not publicly available,,,,"A parish and community landmark in Lagonoy requiring confirmation of documented heritage information, visiting hours and event schedules.","A parish and community landmark in Lagonoy requiring confirmation of documented heritage information, visiting hours and event schedules. This entry is part of MADIA sa Partido’s preliminary working inventory for Lagonoy. Exact coordinates, access arrangements, operating status, fees, schedules, accessibility, safety information, and current contact details must be confirmed from the responsible LGU office, establishment, or operator before public display.",,,,,Requires confirmation,Not publicly available,,,Requires confirmation,Not publicly available,Not publicly available,Not publicly available,,,,,,,,Not publicly available,Not publicly available,Requires confirmation,Not publicly available,Requires local confirmation,"Check current LGU, weather, sea-travel, and site advisories before visiting.",Not publicly available,https://tourism.naga.gov.ph/metronaga-tres/saints-philip-and-james-the-apostles-parish-church-lagonoy/,,2026-06-29,,PARTIALLY VERIFIED,Medium,Uploaded image; creator/license completion remains in review.,MADIA-PHO-0035,/municipalities/lagonoy/saints-philip-and-james-the-apostles-parish-church,,,MADIA-SRC-009
